x	 r1	 r2	 r3
0.0	14.7252	15.3482	15.6704
0.2	14.7251	15.3482	15.6704
0.4	14.7251	15.3482	15.6704
0.6	14.7251	15.3482	15.6704
0.8	14.7251	15.3482	15.6704
1.0	14.7251	15.3482	15.6704
1.2	14.7251	15.3482	15.6704
1.4	14.725	15.3482	15.6704
1.6	14.725	15.3482	15.6704
1.8	14.725	15.3482	15.6704
2.0 14.725	15.3482	15.6704
